Index,NLQ,PREDICTED SQL,GOLD SQL,DATABASE
10,"Is it true that more SMEs pay in Czech koruna than in euros? If so, how many more?",SELECT (SELECT count(CustomerID) FROM customers WHERE Segment = 'SME' AND Currency = 'CZK') - (SELECT count(CustomerID) FROM customers WHERE Segment = 'SME' AND Currency = 'EUR'),SELECT SUM(Currency = 'CZK') - SUM(Currency = 'EUR') FROM customers WHERE Segment = 'SME',debit_card_specializing
11,How many percent of LAM customer consumed more than 46.73?,SELECT CAST(COUNT(DISTINCT T1.CustomerID) AS REAL) * 100 / (SELECT COUNT(DISTINCT CustomerID) FROM customers WHERE Segment  =  'LAM') FROM customers AS T1 JOIN yearmonth AS T2 ON T1.CustomerID  =  T2.CustomerID WHERE T1.Segment  =  'LAM' AND T2.Consumption  >  46.73,"SELECT CAST(SUM(IIF(T2.Consumption > 46.73, 1, 0)) AS FLOAT) * 100 / COUNT(T1.CustomerID) FROM customers AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE T1.Segment = 'LAM'",debit_card_specializing
12,"In February 2012, what percentage of customers consumed more than 528.3?",SELECT CAST(COUNT(DISTINCT CASE WHEN Consumption > 528.3 THEN CustomerID ELSE NULL END) AS REAL) * 100 / COUNT(DISTINCT CustomerID) FROM yearmonth WHERE Date = '201202',"SELECT CAST(SUM(IIF(Consumption > 528.3, 1, 0)) AS FLOAT) * 100 / COUNT(CustomerID) FROM yearmonth WHERE Date = '201202'",debit_card_specializing
13,What is the highest monthly consumption in the year 2012?,SELECT max(Consumption) FROM yearmonth WHERE Date LIKE '2012%',"SELECT SUM(Consumption) FROM yearmonth WHERE SUBSTR(Date, 1, 4) = '2012' GROUP BY SUBSTR(Date, 5, 2) ORDER BY SUM(Consumption) DESC LIMIT 1",debit_card_specializing
14,"Please list the product description of the products consumed in September, 2013.",SELECT DISTINCT T1.Description FROM products AS T1 JOIN transactions_1k AS T2 ON T1.ProductID  =  T2.ProductID WHERE T2.Date LIKE '2013-09-%',SELECT T3.Description FROM transactions_1k AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID INNER JOIN products AS T3 ON T1.ProductID = T3.ProductID WHERE T2.Date = '201309',debit_card_specializing
15,"Please list the countries of the gas stations with transactions taken place in June, 2013.",SELECT DISTINCT T1.Country FROM gasstations AS T1 JOIN transactions_1k AS T2 ON T1.GasStationID = T2.GasStationID WHERE T2.Date LIKE '2013-06-%',SELECT DISTINCT T2.Country FROM transactions_1k AS T1 INNER JOIN gasstations AS T2 ON T1.GasStationID = T2.GasStationID INNER JOIN yearmonth AS T3 ON T1.CustomerID = T3.CustomerID WHERE T3.Date = '201306',debit_card_specializing
16,"Among the customers who paid in euro, how many of them have a monthly consumption of over 1000?",SELECT count(DISTINCT T1.CustomerID) FROM customers AS T1 JOIN yearmonth AS T2 ON T1.CustomerID  =  T2.CustomerID WHERE T1.Currency  =  'EUR' AND T2.Consumption  >  1000,SELECT COUNT(*) FROM yearmonth AS T1 INNER JOIN customers AS T2 ON T1.CustomerID = T2.CustomerID WHERE T2.Currency = 'EUR' AND T1.Consumption > 1000.00,debit_card_specializing
17,Please list the product descriptions of the transactions taken place in the gas stations in the Czech Republic.,SELECT DISTINCT T1.Description FROM products AS T1 JOIN transactions_1k AS T2 ON T1.ProductID  =  T2.ProductID JOIN gasstations AS T3 ON T2.GasStationID  =  T3.GasStationID WHERE T3.Country  =  'CZE',SELECT DISTINCT T3.Description FROM transactions_1k AS T1 INNER JOIN gasstations AS T2 ON T1.GasStationID = T2.GasStationID INNER JOIN products AS T3 ON T1.ProductID = T3.ProductID WHERE T2.Country = 'CZE',debit_card_specializing
18,Please list the disparate time of the transactions taken place in the gas stations from chain no. 11.,SELECT DISTINCT T1.Time FROM transactions_1k AS T1 JOIN gasstations AS T2 ON T1.GasStationID = T2.GasStationID WHERE T2.ChainID = 11,SELECT DISTINCT T1.Time FROM transactions_1k AS T1 INNER JOIN gasstations AS T2 ON T1.GasStationID = T2.GasStationID WHERE T2.ChainID = 11,debit_card_specializing
19,"Among the transactions made in the gas stations in the Czech Republic, how many of them are taken place after 2012/1/1?",SELECT count(*) FROM transactions_1k AS T1 JOIN gasstations AS T2 ON T1.GasStationID  =  T2.GasStationID WHERE T2.Country  =  'CZE' AND T1.Date  >  '2012-01-01',"SELECT COUNT(T1.TransactionID) FROM transactions_1k AS T1 INNER JOIN gasstations AS T2 ON T1.GasStationID = T2.GasStationID WHERE T2.Country = 'CZE' AND STRFTIME('%Y', T1.Date) >= '2012'",debit_card_specializing
20,What kind of currency did the customer paid at 16:25:00 in 2012/8/24?,SELECT DISTINCT T1.Currency FROM customers AS T1 JOIN transactions_1k AS T2 ON T1.CustomerID = T2.CustomerID WHERE T2.Date = '2012-08-24' AND T2.Time = '16:25:00',SELECT DISTINCT T3.Currency FROM transactions_1k AS T1 INNER JOIN gasstations AS T2 ON T1.GasStationID = T2.GasStationID INNER JOIN customers AS T3 ON T1.CustomerID = T3.CustomerID WHERE T1.Date = '2012-08-24' AND T1.Time = '16:25:00',debit_card_specializing
21,What segment did the customer have at 2012/8/23 21:20:00?,SELECT DISTINCT T1.Segment FROM customers AS T1 JOIN transactions_1k AS T2 ON T1.CustomerID  =  T2.CustomerID WHERE T2.Date  =  '2012-08-23' AND T2.Time  =  '21:20:00',SELECT T2.Segment FROM transactions_1k AS T1 INNER JOIN customers AS T2 ON T1.CustomerID = T2.CustomerID WHERE T1.date = '2012-08-23' AND T1.time = '21:20:00',debit_card_specializing
22,"For all the transactions happened during 8:00-9:00 in 2012/8/26, how many happened in CZE?",SELECT count(T1.TransactionID) FROM transactions_1k AS T1 JOIN gasstations AS T2 ON T1.GasStationID = T2.GasStationID WHERE T1.Date = '2012-08-26' AND T1.Time BETWEEN '08:00:00' AND '09:00:00' AND T2.Country = 'CZE',SELECT COUNT(T1.TransactionID) FROM transactions_1k AS T1 INNER JOIN gasstations AS T2 ON T1.GasStationID = T2.GasStationID WHERE T1.Date = '2012-08-26' AND T1.Time BETWEEN '08:00:00' AND '09:00:00' AND T2.Country = 'CZE',debit_card_specializing
23,What's the nationality of the customer who spent 548.4 in 2012/8/24?,SELECT DISTINCT T2.Country FROM transactions_1k AS T1 JOIN gasstations AS T2 ON T1.GasStationID = T2.GasStationID WHERE T1.Amount = 548.4 AND T1.Date = '2012-08-24',SELECT T2.Country FROM transactions_1k AS T1 INNER JOIN gasstations AS T2 ON T1.GasStationID = T2.GasStationID WHERE T1.Date = '2012-08-24' AND T1.Price  = 548.4,debit_card_specializing
24,What is the percentage of the customers who used EUR in 2012/8/25?,SELECT CAST(COUNT(DISTINCT CASE WHEN T1.Currency = 'EUR' THEN T1.CustomerID ELSE NULL END) AS REAL) * 100.0 / COUNT(DISTINCT T1.CustomerID) FROM customers AS T1 JOIN transactions_1k AS T2 ON T1.CustomerID = T2.CustomerID WHERE T2.Date = '2012-08-25',"SELECT CAST(SUM(IIF(T2.Currency = 'EUR', 1, 0)) AS FLOAT) * 100 / COUNT(T1.CustomerID) FROM transactions_1k AS T1 INNER JOIN customers AS T2 ON T1.CustomerID = T2.CustomerID WHERE T1.Date = '2012-08-25'",debit_card_specializing
25,"For the customer who paid 634.8 in 2012/8/25, what was the consumption decrease rate from Year 2012 to 2013?",SELECT (SUM(CASE WHEN T2.Date LIKE '2012%' THEN T2.Consumption ELSE 0 END) - SUM(CASE WHEN T2.Date LIKE '2013%' THEN T2.Consumption ELSE 0 END)) * 1.0 / SUM(CASE WHEN T2.Date LIKE '2012%' THEN T2.Consumption ELSE 0 END) FROM transactions_1k AS T1 JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE T1.Amount = 634.8 AND T1.Date = '2012-08-25' GROUP BY T2.CustomerID LIMIT 1,"SELECT CAST(SUM(IIF(SUBSTRING(Date, 1, 4) = '2012', Consumption, 0)) - SUM(IIF(SUBSTRING(Date, 1, 4) = '2013', Consumption, 0)) AS FLOAT) / SUM(IIF(SUBSTRING(Date, 1, 4) = '2012', Consumption, 0)) FROM yearmonth WHERE CustomerID = ( SELECT T1.CustomerID FROM transactions_1k AS T1 INNER JOIN gasstations AS T2 ON T1.GasStationID = T2.GasStationID WHERE T1.Date = '2012-08-25' AND T1.Price  = 1513.12 )",debit_card_specializing
26,"What is the percentage of ""premium"" against the overall segment in Country = ""SVK""?",SELECT CAST(SUM(CASE WHEN Segment  =  'Premium' THEN 1 ELSE 0 END) AS REAL) * 100 / COUNT(*) FROM gasstations WHERE Country  =  'SVK',"SELECT CAST(SUM(IIF(Country = 'SVK' AND Segment = 'Premium', 1, 0)) AS FLOAT) * 100 / SUM(IIF(Country = 'SVK', 1, 0)) FROM gasstations",debit_card_specializing
27,"What is the amount spent by customer ""38508"" at the gas stations? How much had the customer spent in January 2012?","SELECT sql SELECT SUM(Amount), SUM(CASE WHEN Date BETWEEN '2012-01-01' AND '2012-01-31' THEN Amount ELSE 0 END) FROM transactions_1k WHERE CustomerID = 38508","SELECT SUM(T1.Price ) , SUM(IIF(T3.Date = '201201', T1.Price, 0)) FROM transactions_1k AS T1 INNER JOIN gasstations AS T2 ON T1.GasStationID = T2.GasStationID INNER JOIN yearmonth AS T3 ON T1.CustomerID = T3.CustomerID WHERE T1.CustomerID = '38508'",debit_card_specializing
28,Who is the top spending customer and how much is the average price per single item purchased by this customer? What currency was being used?,"SELECT T1.CustomerID , SUM(T1.Price) / SUM(T1.Amount) , T2.Currency FROM transactions_1k AS T1 JOIN customers AS T2 ON T1.CustomerID  =  T2.CustomerID GROUP BY T1.CustomerID ORDER BY SUM(T1.Price) DESC LIMIT 1","SELECT T2.CustomerID, SUM(T2.Price / T2.Amount), T1.Currency FROM customers AS T1 INNER JOIN transactions_1k AS T2 ON T1.CustomerID = T2.CustomerID WHERE T2.CustomerID = ( SELECT CustomerID FROM yearmonth ORDER BY Consumption DESC LIMIT 1 ) GROUP BY T2.CustomerID, T1.Currency",debit_card_specializing
29,For all the people who paid more than 29.00 per unit of product id No.5. Give their consumption status in the August of 2012.,SELECT T2.Consumption FROM transactions_1k AS T1 JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE T1.ProductID = 5 AND T1.Price / T1.Amount > 29.00 AND T2.Date = '201208',SELECT T2.Consumption FROM transactions_1k AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE T1.Price / T1.Amount > 29.00 AND T1.ProductID = 5 AND T2.Date = '201208',debit_card_specializing
30,What's Angela Sanders's major?,SELECT T2.major_name FROM member AS T1 JOIN major AS T2 ON T1.link_to_major = T2.major_id WHERE T1.first_name = 'Angela' AND T1.last_name = 'Sanders',SELECT T2.major_name FROM member AS T1 INNER JOIN major AS T2 ON T1.link_to_major = T2.major_id WHERE T1.first_name = 'Angela' AND T1.last_name = 'Sanders',student_club
31,"Among the students from the Student_Club who attended the event ""Women's Soccer"", how many of them want a T-shirt that's in medium size?",SELECT count(T1.member_id) FROM member AS T1 JOIN attendance AS T2 ON T1.member_id  =  T2.link_to_member JOIN event AS T3 ON T2.link_to_event  =  T3.event_id WHERE T3.event_name  =  'Women''s Soccer' AND T1.t_shirt_size  =  'Medium',SELECT COUNT(T1.event_id) FROM event AS T1 INNER JOIN attendance AS T2 ON T1.event_id = T2.link_to_event INNER JOIN member AS T3 ON T2.link_to_member = T3.member_id WHERE T1.event_name = 'Women''s Soccer' AND T3.t_shirt_size = 'Medium',student_club
32,"Among the events attended by more than 10 members of the Student_Club, how many of them are meetings?",SELECT count(*) FROM event WHERE event_id IN (SELECT link_to_event FROM attendance GROUP BY link_to_event HAVING count(*)  >  10) AND type  =  'Meeting',SELECT T1.event_name FROM event AS T1  INNER JOIN attendance AS T2 ON T1.event_id = T2.link_to_event GROUP BY T1.event_id  HAVING COUNT(T2.link_to_event) > 10 EXCEPT SELECT T1.event_name  FROM event AS T1  WHERE T1.type = 'Meeting',student_club
33,List all the names of events that had an attendance of over 20 students but were not fundraisers.,SELECT T1.event_name FROM event AS T1 JOIN attendance AS T2 ON T1.event_id  =  T2.link_to_event WHERE T1.type != 'fundraisers' GROUP BY T1.event_id HAVING count(T2.link_to_member)  >  20,SELECT T1.event_name FROM event AS T1 INNER JOIN attendance AS T2 ON T1.event_id = T2.link_to_event GROUP BY T1.event_id HAVING COUNT(T2.link_to_event) > 20 EXCEPT SELECT T1.event_name FROM event AS T1  WHERE T1.type = 'Fundraiser',student_club
34,What is the amount of the funds that the Vice President received?,SELECT T1.amount FROM income AS T1 JOIN member AS T2 ON T1.link_to_member = T2.member_id WHERE T2.position = 'Vice President',SELECT T2.amount FROM member AS T1 INNER JOIN income AS T2 ON T1.member_id = T2.link_to_member WHERE T1.position = 'Vice President',student_club
35,List the full name of the Student_Club members that grew up in Illinois state.,"SELECT T1.first_name ,  T1.last_name FROM member AS T1 JOIN zip_code AS T2 ON T1.zip  =  T2.zip_code WHERE T2.state  =  'Illinois'","SELECT T1.first_name, T1.last_name FROM member AS T1 INNER JOIN zip_code AS T2 ON T1.zip = T2.zip_code WHERE T2.state = 'Illinois'",student_club
36,"Was each expense in October Meeting on October 8, 2019 approved?",SELECT T3.approved FROM event AS T1 JOIN budget AS T2 ON T1.event_id  =  T2.link_to_event JOIN expense AS T3 ON T2.budget_id  =  T3.link_to_budget WHERE T1.event_name  =  'October Meeting' AND T1.event_date  =  '2019-10-08',SELECT T3.approved FROM event AS T1 INNER JOIN budget AS T2 ON T1.event_id = T2.link_to_event INNER JOIN expense AS T3 ON T2.budget_id = T3.link_to_budget WHERE T1.event_name = 'October Meeting' AND T1.event_date LIKE '2019-10-08%',student_club
37,Calculate the total average cost that Elijah Allen spent in the events on September and October.,"SELECT avg(T1.cost) FROM expense AS T1 JOIN member AS T2 ON T1.link_to_member  =  T2.member_id WHERE T2.first_name  =  'Elijah' AND T2.last_name  =  'Allen' AND strftime('%m', T1.expense_date) IN ('09', '10')","SELECT AVG(T2.cost) FROM member AS T1 INNER JOIN expense AS T2 ON T1.member_id = T2.link_to_member WHERE T1.last_name = 'Allen' AND T1.first_name = 'Elijah' AND (SUBSTR(T2.expense_date, 6, 2) = '09' OR SUBSTR(T2.expense_date, 6, 2) = '10')",student_club
38,Calculate the difference of the total amount spent in all events by the Student_Club in year 2019 and 2020.,SELECT (SELECT sum(T1.spent) FROM budget AS T1 JOIN event AS T2 ON T1.link_to_event = T2.event_id WHERE T2.event_date LIKE '2019%' AND T2.type = 'Student_Club') - (SELECT sum(T1.spent) FROM budget AS T1 JOIN event AS T2 ON T1.link_to_event = T2.event_id WHERE T2.event_date LIKE '2020%' AND T2.type = 'Student_Club'),"SELECT SUM(CASE WHEN SUBSTR(T1.event_date, 1, 4) = '2019' THEN T2.spent ELSE 0 END) - SUM(CASE WHEN SUBSTR(T1.event_date, 1, 4) = '2020' THEN T2.spent ELSE 0 END) AS num FROM event AS T1 INNER JOIN budget AS T2 ON T1.event_id = T2.link_to_event",student_club
39,What was the notes of the fundraising on 2019/9/14?,SELECT sql SELECT notes FROM event WHERE type = 'fundraising' AND event_date = '2019-09-14',SELECT notes FROM income WHERE source = 'Fundraising' AND date_received = '2019-09-14',student_club
